title,url,page_title,category,ingredients,instructions,kalori,protein,karbohidrat,lemak,serat,gula,sodium,kalium,kolesterol,lemak_jenuh,description,prepTime,cookTime,recipeYield
Soto Ayam,https://www.fatsecret.co.id/resep/41299672-soto-ayam/Default.aspx,Soto Ayam,Sidebar - Makan Siang,178 gram dada ayam rebus (kulit tidak dimakan) | 200 gram kecambah | 2 gram ketumbar | 2 sdt kunyit | 1 sdt garam | 100 gram selada kol | 3 siung bawang putih | 1 sdt jahe | 1 mangkok daun bawang | 2 gram sereh | 2 gram kacang kemiri | 2 kecil bawang merah | 500 g mie basah matang | 1 sdm kecap manis | 2 g royco ayam | 3 g lada putih bubuk,"Haluskan bawmer, bawput, jahe, kemiri, kunyit dan geprek laos dan sereh. | Tumis bumbu halus tadi bersama dgn laos dan sereh yg sudah di geprek dan tambah duan salam dan daun jeruk. | Setelah matang, masukan air dan air sisa rebusan ayam. | Rebus ayam , tauge, mie shirataki
Secara terpisah. | Setelah air mendidih , masukan bumbu spt garam, lada bubuk, royko dan kecap manis 1sdm
Setelah di rasa pas, matikan api kompor. | Siapkan ayam suir, tauge, kol di iris , jeruk nipis , dan mi shirataki nya. | Kalo mau pake sambel, tinggal haluskan rawit dan juga air kuah sotonya. | Selesai.","121,0 kkal","10,64 g","16,25 g","1,91 g","5,2 g","4,27 g","658,0 mg","213,0 mg","24,0 mg","0,408 g",Soto ayam tanpa santan.,PT25M,PT10M,6 porsi
Oseng Buncis Tempe,https://www.fatsecret.co.id/resep/41271043-oseng-buncis-tempe/Default.aspx,Oseng Buncis Tempe,Sidebar - Hidangan Utama,16 gram cabai merah atau rawit | 1/4 sdt garam | 1 sdm saus tiram | 90 gram buncis | 3 siung bawang putih | 3 sedang bawang merah | 62 gram tempe goreng | 1 sdm kecap manis,"Tempe yang sudah digoreng dipotong kotak-kotak,Buncis potong sesuai selera. | Tumis bamer , baput & cabe hingga harum. | Masukan tempe yang sudah digoreng & buncis. | Tambahkan kecap, saus tiram, garam , dan air seckupnya.
Lalu tunggu hingga matang & air menyusut.","213,0 kkal","7,92 g","36,32 g","6,32 g","6,3 g","14,19 g","799,0 mg","636,0 mg","0,0 mg","0,974 g",Tempe dan kacang hijau dengan buncis.,PT5M,PT5M,2 porsi
Nasi Goreng Oatmeal,https://www.fatsecret.co.id/resep/41153063-nasi-goreng-oatmeal/Default.aspx,Nasi Goreng Oatmeal,Sidebar - Hidangan Utama,1 sdm margarin | 1/2 sdt garam | 50 gram buncis | 50 gram wortel | 1/2 daun bawang | 100 ml air | 1 1/2 sdt bawang putih cincang | 4 sendok makan instant oatmeal | 1/2 takaran lada putih bubuk | 1 sdm kecap manis,"Cincang bawang putih dan potong sayuran yang telah dicuci. | Panaskan teflon lalu masukan margarin hingga mencair. | Tumis baput cincang hingga harum. | Masukan air, disusul dengan sayuran. | Tumis sayuran hingga setengah matang lalu masukan daun bawang dan oatmeal. | Terakhir masukan bumbu seperti kecap,garam,dan lada.","336,0 kkal","7,7 g","53,09 g","12,31 g","7,1 g","15,92 g","1656,0 mg","419,0 mg","0,0 mg","1,991 g",Versi rendah gula tanpa nasi.,PT15M,PT20M,1 porsi
Nasgor Merah,https://www.fatsecret.co.id/resep/41135876-nasgor-merah/Default.aspx,Nasgor Merah,Sidebar - Hidangan Utama,78 gram telur | 130 gram nasi merah | 10 gram cabai merah atau rawit | 10 gram bawang putih | 10 gram bawang merah | 1 ml minyak goreng | 40 gram sawi hijau,Potong bawang cabe lalu tumis masukan telur hingga matang masukan sawi hingga layu masukan nasi dan tambahkan garam. | Angkat nasgor jika sudah matang. | Sajikan d piring.,"322,0 kkal","15,67 g","41,06 g","11,69 g","5,7 g","3,09 g","531,0 mg","517,0 mg","330,0 mg","3,358 g",Nasi goreng campur dengan sawi.,PT5M,PT10M,1 porsi
Mentai Shirataki,https://www.fatsecret.co.id/resep/41100705-mentai-shirataki/Default.aspx,Mentai Shirataki,Sidebar - Hidangan Utama,3 tbsps sesame oil | 3 sdm mayonnaise | 100 g mie kering | 18 ml saus sambal | 64 g crab stick,"Rebus mie shirataki. | Campurkan mie shirataki dengan sejumput garam dan minyak wijen. | Tata di ramekin, tambahkan crab stick rebus, dan beri mentai. | Bakar menggunakan gas torch.","352,0 kkal","2,2 g","24,27 g","27,76 g","2,0 g","4,91 g","552,0 mg","2,0 mg","6,0 mg","3,978 g",Shirataki  noddle with mayo.,PT10M,PT10M,2 porsi
Pokcoy Siram Jamur Enoki,https://www.fatsecret.co.id/resep/40697709-pokcoy-siram-jamur-enoki/Default.aspx,Pokcoy Siram Jamur Enoki,Sidebar - Lauk Pauk,80 gram daging babi | 1 sdm margarin | 10 gram kaldu jamur | 1 sejumput lada hitam | 480 gram pakcoy | 80 g jamur enoki | 100 g egg tofu | 1/2 sedang bawang bombay,"Rebus pokcoy d air mendidih yang d tambah garam. | Lelehkan margarin dan tumus bawang bombay hingga layu. | Masukkan daging babi dan tumis hingga berubah warna. | Beri sedikit air bumbui dengan lada hitam dan kaldu jamur aduk rata. | Masukkan jamur enoki, aduk rata hingga layu koreksi rasa. | Tata pokcoy yg sudah d rebus d atas piring. Siram dengan tumisan jamur.","117,0 kkal","8,06 g","5,65 g","7,38 g","1,7 g","2,32 g","148,0 mg","233,0 mg","18,0 mg","1,615 g",Sayur sehat.,PT15M,PT15M,4 porsi
Tumis Sawi Tahu,https://www.fatsecret.co.id/resep/40303686-tumis-sawi-tahu/Default.aspx,Tumis Sawi Tahu,Sidebar - Makan Siang,"1 putih telur matang | 2 siung bawang putih dimasak | 1/2 iris bawang bombay dimasak | 1 sdm cabai merah atau rawit | 1 mangkok, dicincang sawi | 1/4 ml air | 50 ml air | 35 g roti tawar gandum (2) | 1 porsi tahu | 3,75 g mentega","Tumis bawang bombay dan bawang putih serta cabai, tunggu hingga matang. | Masukkan putih telur dan buat orak arik. | Masukkan garam dan lada sedikit saja. Lalu tambahkan air sedikit saja. | Masukkan sawi dan tahu. Lalu tunggu hingga matang, jangan terlalu lama agar sayuran tetap fresh. | Sajikan bersama potongan roti gandum. Selamat menikmati.","269,0 kkal","18,36 g","25,24 g","11,97 g","6,3 g","2,66 g","334,0 mg","390,0 mg","0,0 mg","1,947 g",Tumis Sawi Tahu dengan roti gandum.,PT5M,PT10M,1 porsi
Kangkung Tumis,https://www.fatsecret.co.id/resep/39800325-kangkung-tumis/Default.aspx,Kangkung Tumis,Sidebar - Hidangan Utama,1 sdm cabai merah atau rawit | 1 siung bawang putih | 1 irisan tomat merah | 1 kecil bawang merah | 3 sdm minyak goreng | 300 gram kangkung | 100 g saus tiram | 23 g saus tiram,"Iris kangkung dan bahan lain nya pisahkan. | Tumis bahan. | Lalu masukan kangkung, Saori dan sedikit air. | Tunggu sampai kangkung masak dan siap disajikan.","450,0 kkal","10,93 g","35,27 g","32,4 g","9,1 g","5,51 g","215,0 mg","1761,0 mg","0,0 mg","12,374 g",Makan siang bergizi.,PT10M,PT5M,1 porsi
Steam Fish,https://www.fatsecret.co.id/resep/39776119-steam-fish/Default.aspx,Steam Fish,Sidebar - Lauk Pauk,"2 sdm kecap asin (kedelai) | 8 g jeruk nipis | 1 sdm cabai merah atau rawit | 1/2 sdt garam | 1 sdt minyak wijen | 1 sdm saus tiram | 1 siung bawang putih | 2 iris diameter 2,5 cm jahe | 30 gram daun bawang | 20 gram sereh | 200 gram ikan bawal | 3 g lada putih bubuk","Bumbui ikan dengan garam, lada, dan jeruk nipis, diamkan 10 menit. | Letakkan ikan pada wadah tahan panas, Kukus bersama irisan jahe, bawang putih dan sereh selama 10 menit. Kemudian buang airnya ( ikan berair saat dikukus). | Siap kan saus, (5 sdm air matang, minyak wijen, kecap asin, saus tiram, lada. Jika kurang asin tambahkan sedikit garam). | Setelah 10 menit angkat ikan, masukkan saus. Kemudian kukus lagi selama 10 menit. | Tambahkan daun bawang dan cabai merah. Kukus lagi sebentar kemudian angkat.","310,0 kkal","38,45 g","21,32 g","8,18 g","2,7 g","2,5 g","3606,0 mg","1119,0 mg","123,0 mg","1,477 g",Ikan kukus dengan saus.,PT5M,PT20M,1 porsi
Sayur Bayam Bening,https://www.fatsecret.co.id/resep/39700680-sayur-bayam-bening/Default.aspx,Sayur Bayam Bening,Sidebar - Hidangan Utama,"1 sdm cabai merah atau rawit | 1 iris, tipis bawang | 150 gram bayam",Bersihkan sayur. | Rebus air sampai mendidih. | Masukkan kembali bayam sampai tidak keras lagi. Menyajikan.,"55,0 kkal","5,01 g","9,35 g","1,51 g","4,8 g","1,57 g","120,0 mg","957,0 mg","0,0 mg","0,269 g",Sayur bayam bening tanpa garam.,PT5M,PT3M,1 porsi
Tumis Kubis,https://www.fatsecret.co.id/resep/65355205-tumis-kubis/Default.aspx,Tumis Kubis,Sidebar - Lauk Pauk,400 gram kubis hijau | 30 gram cabai merah atau rawit | 20 gram bawang putih | 1 kecil utuh tomat merah | 20 gram gula merah | 45 gram bawang merah | 3 g kaldu jamur | 2 gram udang rebon | 1/2 sdm saus tiram,Potong sayuran sesuai ukuran yang diinginkan. | Tumis bawang merah dan bawang putih dalam wajan yang diolesi sedikit minyak. | Tambahkan bahan lainnya satu per satu. | Tuang air secukupnya dan tutup. Masak hingga matang.,"89,0 kkal","3,4 g","19,17 g","1,55 g","4,9 g","10,8 g","139,0 mg","505,0 mg","0,0 mg","0,28 g",Lauk sayuran rendah kalori.,PT15M,PT15M,4 porsi
Goreng Labu dengan Jagung,https://www.fatsecret.co.id/resep/64018237-goreng-labu-dengan-jagung/Default.aspx,Goreng Labu dengan Jagung,Sidebar - Makan Siang,"1 besar telur | 1 gelas jagung | 1 sdt bawang putih bubuk | 1 sdt, tumbuk oregano | 1 sejumput lada hitam | 100 gram labu | 1 sdm minyak zaitun extra virgin | 100 g tepung terigu","Potong dadu labu, rebus dengan air hingga empuk, tiriskan. | Campur dalam blender dengan bahan lain, kecuali tepung dan minyak. | Masukkan tepung dan aduk hingga rata. | Masak dalam wajan dengan minyak sampai berwarna keemasan dan kencang.","121,0 kkal","3,82 g","19,07 g","3,93 g","1,0 g","1,24 g","16,0 mg","148,0 mg","35,0 mg","0,656 g",Sarapan atau camilan rendah gula.,PT20M,PT15M,6 porsi
Tumis Brokoli,https://www.fatsecret.co.id/resep/62145571-tumis-brokoli/Default.aspx,Tumis Brokoli,Sidebar - Makan Siang,250 gram brokoli | 160 gram wortel | 3 siung bawang putih | 1/2 sdt gula pasir | 1 sejumput garam laut | 2 kecil bawang merah | 2.5 g kaldu jamur,"Rebus wortel dan brokoli, tujuannya supaya empuk dan matang merata ketika ditumis. | Tumis bawang merah dan bawang putih yang sudah dicincang pada teflon anti lengket tanpa menggunakan minyak masak. | Setelah bumbu matang, masukkan wortel dan brokoli yang sudah direbus, aduk merata sambil ditambahkan gula, garam dan kaldu jamur. | Tumis brokoli siap disajikan.","79,0 kkal","3,49 g","17,22 g","0,52 g","4,4 g","6,56 g","130,0 mg","513,0 mg","0,0 mg","0,067 g",Yuk buat menu simple dari brokoli yg rendah lemak dan tanpa minyak!,PT10M,PT15M,3 porsi
Sawi Tumis,https://www.fatsecret.co.id/resep/61587635-sawi-tumis/Default.aspx,Sawi Tumis,Sidebar - Makan Siang,12 gram bawang putih | 5 g kaldu jamur | 189 gram sawi hijau,"Potong sawi dan bawang. | Tumis bawang tanpa minyak, tbahkan sedikit air. | Tambahkan kaldu jamur dan tunggu sampai matang.","53,0 kkal","3,75 g","9,09 g","0,69 g","2,2 g","2,35 g","200,0 mg","524,0 mg","0,0 mg","0,06 g",Tumis sayuran lembut yang dapat dengan mudah dipasangkan dengan hidangan lainnya.,PT5M,PT10M,1 porsi
Enoki Pedas Manis,https://www.fatsecret.co.id/resep/59364031-enoki-pedas-manis/Default.aspx,Enoki Pedas Manis,Sidebar - Lauk Pauk,1 sdt bubuk cabai | 1 sdt garam | 1 sdm minyak wijen | 2 siung bawang putih | 2 sdm saus tomat | 1 sdt gula pasir | 2 ml minyak goreng | 200 g jamur enoki | 2 sdm saos tiram,Potong akar jamur dan cuci. | Panaskan minyak dalam wajan dan tumis bawang putih hingga harum. | Tambahkan sisa bahan secara bertahap. | Masak selama 10 menit atau sampai empuk.,"134,0 kkal","3,61 g","14,56 g","8,0 g","1,6 g","6,64 g","1633,0 mg","104,0 mg","0,0 mg","1,38 g","Hidangan lezat, rendah kalori.",PT10M,PT20M,2 porsi
Tumis Kecambah,https://www.fatsecret.co.id/resep/58244084-tumis-kecambah/Default.aspx,Tumis Kecambah,Sidebar - Lauk Pauk,62 gram telur | 71 gram tomat | 100 gram kecambah | 33 gram putih telur | 1 sejumput lada hitam | 1 sdt garam | 6 gram bawang putih | 25 gram daun bawang | 15 gram bawang merah | 1 sdm sambal tabur,Cuci dan potong sayuran. | Masukkan tomat ke dalam wajan panas dan aduk sampai jusnya keluar. | Tambahkan bawang putih dan bawang bombay. Aduk hingga harum. | Masukkan sisa bahan satu per satu. Tambahkan air sesuai kebutuhan dan didihkan selama 3 menit.,"95,0 kkal","8,26 g","8,14 g","3,48 g","1,9 g","3,55 g","1286,0 mg","252,0 mg","131,0 mg","1,016 g","Lezat, lauk rendah kalori.",PT15M,PT15M,2 porsi
Tumis Sayuran,https://www.fatsecret.co.id/resep/58002098-tumis-sayuran/Default.aspx,Tumis Sayuran,Sidebar - Lauk Pauk,1 sejumput lada hitam | 140 gram buncis | 100 gram wortel | 120 gram kembang kol | 3 siung bawang putih | 1 sejumput garam laut | 1 1/2 sdm saos tiram | 60 gram bawang bombay,Potong sayuran menjadi potongan-potongan kecil. | Tumis bawang putih dan bawang bombay dalam wajan antilengket. | Perlahan tambahkan sisa bahan. Masak hingga empuk.,"80,0 kkal","3,48 g","18,12 g","0,31 g","5,8 g","6,71 g","354,0 mg","556,0 mg","0,0 mg","0,068 g","Hidangan rendah kalori, kaya nutrisi.",PT10M,PT15M,2 porsi
Tumis Sayuran dengan Ayam,https://www.fatsecret.co.id/resep/57851087-tumis-sayuran-dengan-ayam/Default.aspx,Tumis Sayuran dengan Ayam,Sidebar - Makan Siang,1 irisan tipis ayam | 100 gram wortel | 1 siung bawang putih | 1 kecil bawang merah | 1 bonggol jagung kecil | 3 g lada putih bubuk | 1 sdm saos tiram | 100 gram sawi hijau | 20 g tepung maizena,"Potong-potong ayam dan sayuran. | Tumis bawang putih dan bawang bombay dalam wajan sampai harum. | Masukkan ayam, aduk sebentar hingga daging berubah warna menjadi putih. | Masukkan sisa sayur, bumbu, dan tepung maizena yang sudah dilarutkan dalam air. | Masak hingga matang lalu sajikan.","197,0 kkal","6,04 g","114,19 g","1,54 g","5,1 g","10,03 g","472,0 mg","726,0 mg","6,0 mg","0,359 g",Cepat dan mudah untuk menyiapkan hidangan untuk makan siang.,PT10M,PT20M,1 porsi
Udang Nori,https://www.fatsecret.co.id/resep/56364737-udang-nori/Default.aspx,Udang Nori,Sidebar - Lauk Pauk,70 gram udang | 1/2 sdt garam | 2 sdt minyak wijen | 20 gram wortel | 20 gram daun bawang | 1 takaran stevia sweetener | 1 bungkus rumput laut panggang (nori) | 1 porsi kaldu jamur | 1 takaran lada putih bubuk,"Siapkan bahan, cincang udang dan bawang daun serta parut wortel dengan parutan keju. | Masukan semua bahan kedalam wadah beri minyak jijen dan bumbu penyedap( garam, merica, kaldu jamur, pemanis stevia secukupnya ). | Aduk hingga semua tercampur rata. | Potong nori segi panjang menjadi beberapa bagian, disisi lain panaskan teflon dengan olesan sedikit minyak wijen. | Taruh nori diatas teflon, lapisi dengan adonan hingga nori tertutup. Tutup teflon, Panggang dengan api yg  sangat kecil. | Jika sudah hampir matang, balikkan perlahan. | Sajikan di piring dengan nasi dan sayuran pilihan.","47,0 kkal","4,17 g","1,61 g","2,56 g","0,4 g","0,34 g","327,0 mg","45,0 mg","29,0 mg","0,321 g","Camilan gurih, juicy, dan rendah kalori.",PT10M,PT25M,5 porsi
Oseng Toge Tahu Telur,https://www.fatsecret.co.id/resep/56000812-oseng-toge-tahu-telur/Default.aspx,Oseng Toge Tahu Telur,Sidebar - Lauk Pauk,118 gram telur | 65 gram kecambah | 5 gram cabai merah atau rawit | 20 gram bawang putih | 3 gram jahe | 1 sdm minyak goreng | 130 gram tahu | 5 g kaldu jamur | 1 sdm kecap manis,"Potong dadu tahu, masukkan dalam wadah. | Kocok lepas telur, tuang kedalam tahu. | Panaskan minyak, tumis bawang putih, cabe rawit dan jahe hingga harum. | Tuang tahu dan telur, aduk-aduk hingga telur matang. | Masukkan toge, aduk aduk. | Bumbui dengan kecap manis dan kaldu jamur, tambahkan air sedikit. | Masak sampai bumbu meresap. | Oseng toge tahu telur siap disajikan.","487,0 kkal","29,79 g","29,12 g","29,7 g","3,7 g","14,59 g","593,0 mg","621,0 mg","499,0 mg","8,635 g",Menu diet murah dari rumah.,PT10M,PT20M,1 porsi
Tumis Toge,https://www.fatsecret.co.id/resep/55489922-tumis-toge/Default.aspx,Tumis Toge,Sidebar - Lainnya,100 gram kecambah | 2 siung bawang putih | 1 takaran royco ayam,Iris bawang putih dan tumis di atas api yang panas tanpa minyak. | Tambahkan taoge dan penyedap rasa sesuai selera. Campur dengan baik. | Tumis hingga matang.,"38,0 kkal","3,97 g","6,67 g","0,51 g","2,3 g","1,9 g","567,0 mg","132,0 mg","0,0 mg","0,064 g","Hidangan sehat, mudah, dan super lezat yang hanya membutuhkan waktu beberapa menit untuk membuatnya.
",PT5M,PT10M,1 porsi
Tumis Timun dan Ayam,https://www.fatsecret.co.id/resep/54815689-tumis-timun-dan-ayam/Default.aspx,Tumis Timun dan Ayam,Sidebar - Lauk Pauk,1 sejumput garam | 50 gram daging paha dan kulit ayam (ayam pedaging) | 80 gram mentimun (dengan kulit) | 5 ml kecap manis | 1 sdm minyak kanola | 1/2 takaran royco ayam | 1 sejumput lada putih bubuk,"Goreng ayam dalam minyak canola sampai berwarna cokelat keemasan. | Tambahkan mentimun potong dadu dan bumbu. | Aduk hingga harum dan merata. | Pindahkan ke piring dan sajikan dengan nasi, opsional.","236,0 kkal","10,16 g","8,93 g","17,43 g","0,4 g","5,98 g","622,0 mg","221,0 mg","40,0 mg","2,222 g",Hidangan ini sangat enak dan cocok dengan nasi.,PT3M,PT7M,1 porsi
Tumis Kangkung,https://www.fatsecret.co.id/resep/54606762-tumis-kangkung/Default.aspx,Tumis Kangkung,Sidebar - Lauk Pauk,1/2 gram cabai merah atau rawit | 10 gram bawang putih | 9 gram bawang merah | 3 ml minyak goreng | 60 gram kangkung,Tumis bawang merah dan bawang putih smpai harum dalam minyak goreng. | Masukan cabai dan kangkung. | Tumis hingga layu.,"58,0 kkal","2,29 g","6,41 g","3,09 g","1,6 g","0,76 g","44,0 mg","357,0 mg","0,0 mg","1,15 g",Dipasangkan dengan sempurna dengan hidangan apa pun.,PT5M,PT8M,1 porsi
Tumis Telur Tahu,https://www.fatsecret.co.id/resep/54559881-tumis-telur-tahu/Default.aspx,Tumis Telur Tahu,Sidebar - Lauk Pauk,1 besar telur | 50 gram kecambah | 10 gram kaldu jamur | 10 gram daun bawang | 50 gram bayam | 50 gram tempe | 1 sdt bawang putih cincang | 70 gram tahu | 1 sdm sambal goreng | 2 g royco ayam,"Tumis baput, bawang putih cincang dan saus sambal lalu masukkan potongan tempe dan tumis hingga harum. | Kocok telur dan tahu. | Tambahkan ke tumisan, lalu aduk hingga telur dan tahu sedikit menggumpal. Tambahkan sedikit air. | Tambahkan tauge, daun bawang dan bayam lalu tambahkan lebih banyak air jika perlu. | Tambahkan bumbu kaldu jamur dan sedikit royco. Tumis hingga semuanya matang. | Angkat dan sajikan.","278,0 kkal","26,23 g","15,09 g","14,74 g","2,8 g","2,79 g","959,0 mg","761,0 mg","220,0 mg","3,178 g",Sangat bergizi dan mudah dibuat.,PT10M,PT20M,1 porsi
Ayam Saos Tiram,https://www.fatsecret.co.id/resep/54468208-ayam-saos-tiram/Default.aspx,Ayam Saos Tiram,Sidebar - Lauk Pauk,500 gram dada ayam | 1 sejumput lada hitam | 20 gram cabai merah atau rawit | 4 sdm saus tiram | 5 siung bawang putih | 10 gram daun bawang | 3/4 gelas air | 1 sejumput garam laut | 1 sdm minyak goreng | 1 sdm kecap manis | 1 sedang bawang bombay | 22 g saus sambal | 10 g lengkuas,"Potong semua bahan. | Rebus air hingga mendidih lalu masak ayam. Sisihkan saat Anda selesai. | Dalam wajan yang sudah dipanaskan, tumis bawang bombay lalu tambahkan cabai dan lengkuas. Aduk dan tambahkan sisa bumbu dan rempah-rempah. | Masukkan ayam dan tambahkan sedikit air. | Tambahkan daun bawang cincang halus. Aduk rata.","669,0 kkal","76,66 g","29,58 g","26,24 g","3,9 g","12,64 g","2529,0 mg","955,0 mg","208,0 mg","7,796 g","Lezat, penuh rasa dan mudah dibuat.",PT10M,PT15M,2 porsi
Tempe Kecap,https://www.fatsecret.co.id/resep/53683406-tempe-kecap/Default.aspx,Tempe Kecap,Sidebar - Lauk Pauk,2 siung bawang putih dimasak | 3 sdm cabai merah atau rawit | 1 sdt garam | 100 gram tempe | 2 kecil bawang merah | 1 sdm minyak goreng | 2 sdm kecap manis,"Kupas bawang merah, bawang putih bawang putih dan cincang halus bersama cabai | Panaskan minyak. Tumis bumbu sampai harum | Masukan air, garam secukupnya, dan kecap manis | Masukan tempe yang udah dipotong dadu | Aduk-aduk hingga air susut","489,0 kkal","22,38 g","56,79 g","23,68 g","6,4 g","29,98 g","3005,0 mg","1043,0 mg","0,0 mg","6,778 g",Sangat cocok sebagai lauk.,PT5M,PT10M,1 porsi
Tempe Goreng,https://www.fatsecret.co.id/resep/53042730-tempe-goreng/Default.aspx,Tempe Goreng,Sidebar - Makanan Ringan,1 sdt garam | 1 siung bawang putih | 100 gram tempe,Iris tempe tipis tipis. | Beri bumbu bawang putih dan garam. | Lumuri bumbu dan masukkan ke air fryer dengan suhu 200°C waktu 20 menit.,"25,0 kkal","2,34 g","1,3 g","1,35 g","0,0 g","0,0 g","292,0 mg","53,0 mg","0,0 mg","0,278 g",Tempe digoreng dengan air fryer.,PT5M,PT20M,8 porsi
Oseng Tahu Buncis Telur,https://www.fatsecret.co.id/resep/52893777-oseng-tahu-buncis-telur/Default.aspx,Oseng Tahu Buncis Telur,Sidebar - Makan Siang,1 sedang telur | 1 sdm cabai merah atau rawit | 200 gram buncis | 1 siung bawang putih | 1 sdm minyak goreng | 181 gram tahu | 4 g royco ayam | 3 ml saori saus teriyaki,"Panaskan minyak lalu masukkan bawang putih cincang. | Orak-arik telur, tambahkan tahu potong dadu dan dan sedikit air. | Tambahkan saus teriyaki, royco, dan cabai dan kacang buncis. Masak sebentar hingga matang.","77,0 kkal","4,89 g","4,68 g","4,9 g","1,8 g","1,1 g","304,0 mg","162,0 mg","37,0 mg","1,328 g",Makanan lezat lainnya yang mudah disiapkan.,PT10M,PT20M,5 porsi
Ayam Brokoli Tumis,https://www.fatsecret.co.id/resep/51706407-ayam-brokoli-tumis/Default.aspx,Ayam Brokoli Tumis,Sidebar - Lauk Pauk,"80 gram dada ayam | 1 mangkok, segar, potongan batang brokoli dimasak (dari segar) | 1 sejumput lada hitam | 1 sdt garam | 1 siung bawang putih | 20 g saus tiram | 1 sdm minyak goreng","Potong ayam dadu, lalu goreng ayam sampai kering. | Tumis bawang putih, brokoli, dan masuk ayam. | Tambah air, saus tiram, dan bumbu. | Aduk sampai rata. | Sajikan.","347,0 kkal","27,81 g","14,47 g","20,58 g","5,4 g","2,19 g","3652,0 mg","674,0 mg","66,0 mg","6,566 g",Makan siang sehat yang cepat dan mudah.,PT10M,PT20M,1 porsi
Dada Ayam Paprika,https://www.fatsecret.co.id/resep/50539678-dada-ayam-paprika/Default.aspx,Dada Ayam Paprika,Sidebar - Lauk Pauk,75 gram dada ayam | 50 gram udang | 1 sejumput lada hitam | 1 sejumput garam | 1 sdm saus tiram | 50 gram brokoli | 30 gram wortel | 40 gram paprika kuning manis | 150 ml air | 1 sdt bawang putih cincang,"Masukan air tunggu sampai mendidih. | Masukan bawang putih cincang. | Masukan dada ayam, aduk sampai mendidih. | Masukan sayuran dan bumbu lainya. | Aduk sampai matang. | Sajikan dengan taburan daun petersely.","272,0 kkal","38,55 g","12,69 g","7,37 g","2,7 g","2,25 g","1290,0 mg","636,0 mg","165,0 mg","1,908 g",Tumis dada ayam dengan paprika.,PT15M,PT10M,1 porsi
Gyoza,https://www.fatsecret.co.id/resep/49906002-gyoza/Default.aspx,Gyoza,Sidebar - Lauk Pauk,200 gram dada ayam | 20 kecil pangsit polos | 1 sdt minyak wijen | 1 sdm saus tiram | 100 gram kubis | 2 siung bawang putih | 1 mangkok daun bawang | 1 sejumput garam laut | 10 g tepung tapioka,"Haluskan Dada ayam , tapioka , 1 butir telur , kubis , ke dalam chopper sampai halus jangan lupa di beri bumbu. | Isi kulit pangsit dengan isian gyoza. | Kukus di atas teflon selama 30 menit dengan sedikit air sambil ditutup.","49,0 kkal","3,73 g","4,86 g","1,62 g","0,3 g","0,66 g","151,0 mg","57,0 mg","9,0 mg","0,406 g",Gyoza rendah kalori dibuat dengan dada ayam.,PT30M,PT30M,20 porsi
Perdekel Tahu Bawang,https://www.fatsecret.co.id/resep/46995655-perdekel-tahu-bawang/Default.aspx,Perdekel Tahu Bawang,Sidebar - Lauk Pauk,1 besar telur | 10 gram bawang putih | 10 gram daun bawang | 15 gram bawang merah | 150 gram tahu | 1 sdm virgin coconut oil,"Iris bawang-bawangan, kemudian panggang hingga harum. | Hancurkan tahu, tambahkan bawang-bawangan. | Masukan telur ke dalam adonan tahu. | Tambahkan garam, merica, dan kaldu jamur. | Panaskan 1sdm vco di teflon anti lengket. | Mulai dry frying adonan, kurleb 1 sdm adonan setiap goreng perkedel. | Tunggu hingga ke coklatan, dan angkat. Perkedel siap dinikmati.","42,0 kkal","2,4 g","1,22 g","3,44 g","0,1 g","0,27 g","11,0 mg","40,0 mg","26,0 mg","2,18 g",Campuran tahu dan bawang panggang yang harum.,PT5M,PT10M,8 porsi
Kare Capit Kepiting,https://www.fatsecret.co.id/resep/46810048-kare-capit-kepiting/Default.aspx,Kare Capit Kepiting,Sidebar - Lauk Pauk,"500 gram kepiting | 1/4 ikat ketumbar | 1 sdt bubuk kari | 20 gram cabai merah atau rawit | 3 siung bawang putih | 5 kecil bawang merah | 5,50 ml minyak goreng | 15 ml sun kara","Tumis bumbu halus hingga wangi. | Masukkan air secukupnya. | Masukkan kara. | Masukkan kepiting, garam dan kaldu bubuk, tambahkan cabe rawit utuh. | Tes rasa.","205,0 kkal","26,78 g","13,2 g","5,37 g","3,0 g","4,36 g","759,0 mg","678,0 mg","124,0 mg","1,733 g",Kepiting lezat dalam kari!,PT20M,PT20M,4 porsi
Ayam Tempe Penyet,https://www.fatsecret.co.id/resep/46542808-ayam-tempe-penyet/Default.aspx,Ayam Tempe Penyet,Sidebar - Lauk Pauk,210 gram dada ayam | 30 gram cabai merah atau rawit | 1/2 sdt garam | 4 siung bawang putih | 138 gram tempe | 4 kecil bawang merah | 5 g terasi,"Ulek semua bumbu atau blender ditambahkan air. | Setelah halus masukan ke panci, masukan ayam dan tempe, dan air. | Tambah garam. Dan biarkan air menyusut. | Hidangkan..","458,0 kkal","47,85 g","31,36 g","18,36 g","6,2 g","7,6 g","1010,0 mg","1067,0 mg","87,0 mg","4,344 g",Ayam dan tempe dipenyet tnpa minyak tapi tetap enak.,PT5M,PT30M,2 porsi
